id,Category,State/UT,Year,No Education - Male,No Education - Female,No Education - Transgender,No Education - Total,Primary (up to class-5th) - Male,Primary (up to class-5th) - Female,Primary (up to class-5th) - Transgender,Primary (up to class-5th) - Total,Middle (up to class-8th) - Male,Middle (up to class-8th) - Female,Middle (up to class-8th) - Transgender,Middle (up to class-8th) - Total,Matriculate/Secondary (up to class-10th) - Male,Matriculate/Secondary (up to class-10th) - Female,Matriculate/Secondary (up to class-10th) - Transgender,Matriculate/Secondary (up to class-10th) - Total,Hr. Secondary/Intermediate/Pre-University (up to class-12th) - Male,Hr. Secondary/Intermediate/Pre-University (up to class-12th) - Female,Hr. Secondary/Intermediate/Pre-University (up to class-12th) - Transgender,Hr. Secondary/Intermediate/Pre-University (up to class-12th) - Total,Diploma/Certificate/ITI - Male,Diploma/Certificate/ITI - Female,Diploma/Certificate/ITI - Transgender,Diploma/Certificate/ITI - Total,Graduate and above - Male,Graduate and above - Female,Graduate and above - Transgender,Graduate and above - Total,Professionals (MBA etc.) - Male,Professionals (MBA etc.) - Female,Professionals (MBA etc.) - Transgender,Professionals (MBA etc.) - Total,Status Not known - Male,Status Not known - Female,Status Not known - Transgender,Status Not known - Total,Total - Male,Total - Female,Total - Transgender,Total - Total
17,State,MEGHALAYA,2019,23,8,0,31,42,9,0,51,51,6,0,57,30,7,0,37,15,2,0,17,0,0,0,0,4,1,0,5,0,0,0,0,0,0,0,0,165,33,0,198
18,State,MIZORAM,2019,0,0,0,0,6,2,0,8,27,11,0,38,15,2,0,17,4,1,0,5,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,54,16,0,70
19,State,NAGALAND,2019,3,1,0,4,9,0,0,9,6,1,0,7,8,1,0,9,5,0,0,5,0,0,0,0,2,0,0,2,0,0,0,0,3,2,0,5,36,5,0,41
20,State,ODISHA,2019,30,23,0,53,116,64,0,180,125,74,0,199,186,107,0,293,98,57,0,155,15,12,0,27,65,14,0,79,3,2,0,5,1958,1633,0,3591,2596,1986,0,4582
21,State,PUNJAB,2019,395,108,0,503,213,67,0,280,334,101,0,435,405,125,0,530,307,95,1,403,22,7,0,29,75,22,0,97,5,4,0,9,61,10,0,71,1817,539,1,2357
22,State,RAJASTHAN,2019,407,238,0,645,625,289,0,914,641,252,0,893,689,188,0,877,380,114,0,494,49,9,0,58,156,52,0,208,18,6,0,24,337,81,0,418,3302,1229,0,4531
23,State,SIKKIM,2019,19,5,0,24,45,16,0,61,38,15,0,53,24,10,0,34,7,7,0,14,2,0,0,2,3,0,0,3,0,0,0,0,24,5,0,29,162,58,0,220
24,State,TAMIL NADU,2019,989,565,1,1555,1311,595,1,1907,2316,833,2,3151,2292,1078,3,3373,1436,742,0,2178,265,91,0,356,542,312,1,855,70,31,0,101,14,3,0,17,9235,4250,8,13493
25,State,TELANGANA,2019,1981,847,1,2829,1013,348,0,1361,810,303,0,1113,954,308,0,1262,488,173,0,661,90,21,0,111,193,41,0,234,25,4,0,29,58,17,0,75,5612,2062,1,7675
26,State,TRIPURA,2019,17,6,0,23,156,80,0,236,142,77,0,219,130,56,0,186,36,11,0,47,5,0,0,5,8,2,0,10,0,0,0,0,2,0,0,2,496,232,0,728
27,State,UTTAR PRADESH,2019,524,417,0,941,557,360,0,917,679,472,0,1151,671,552,0,1223,309,151,0,460,67,12,0,79,198,104,0,302,9,5,0,14,219,158,0,377,3233,2231,0,5464
28,State,UTTARAKHAND,2019,7,11,0,18,24,11,0,35,39,20,0,59,151,79,0,230,97,49,0,146,0,0,0,0,17,11,0,28,0,0,0,0,0,0,0,0,335,181,0,516
29,State,WEST BENGAL,2019,345,289,0,634,1428,777,0,2205,1397,969,0,2366,1270,876,0,2146,768,596,0,1364,14,8,0,22,130,54,0,184,0,0,0,0,2417,1327,0,3744,7769,4896,0,12665
State,State,TOTAL (STATES),2019,11414,5941,2,17357,15659,6587,5,22251,19130,7682,2,26814,22763,8864,5,31632,13237,5362,2,18601,1281,352,0,1633,3625,1419,1,5045,236,89,0,325,7838,4155,0,11993,95183,40451,17,135651
30,UT,A & NISLANDS,2019,11,5,0,16,26,5,0,31,24,10,0,34,21,7,0,28,21,11,0,32,1,1,0,2,3,4,0,7,0,0,0,0,23,8,0,31,130,51,0,181
31,UT,CHANDIGARH,2019,6,2,0,8,19,9,0,28,17,9,0,26,25,5,0,30,17,9,0,26,2,0,0,2,7,4,0,11,0,0,0,0,0,0,0,0,93,38,0,131
34,UT,DELHI (UT),2019,113,45,0,158,173,100,0,273,293,116,0,409,454,190,0,644,360,181,0,541,23,3,0,26,86,31,0,117,6,4,0,10,250,98,0,348,1758,768,0,2526
35,UT,LAKSHADWEEP,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,UT,PUDUCHERRY,2019,20,3,0,23,38,5,0,43,14,4,0,18,50,6,0,56,170,110,0,280,41,4,0,45,0,0,0,0,0,0,0,0,15,13,0,28,348,145,0,493
Union Territory,UT,TOTAL (UTs),2019,168,63,0,231,273,125,0,398,362,147,0,509,577,218,0,795,588,319,0,907,67,8,0,75,101,39,0,140,6,4,0,10,288,119,0,407,2430,1042,0,3472
Total (All India),TOTAL (ALL INDIA),TOTAL (ALL INDIA),2019,11582,6004,2,17588,15932,6712,5,22649,19492,7829,2,27323,23340,9082,5,32427,13825,5681,2,19508,1348,360,0,1708,3726,1458,1,5185,242,93,0,335,8126,4274,0,12400,97613,41493,17,139123
1,State,ANDHRA PRADESH,2020,1174,498,1,1673,963,385,0,1348,1058,353,0,1411,873,284,0,1157,554,182,1,737,85,21,0,106,287,128,0,415,15,7,0,22,148,26,0,174,5157,1884,2,7043
2,State,ARUNACHAL PRADESH,2020,8,1,0,9,5,4,0,9,8,10,0,18,25,12,0,37,10,4,0,14,0,0,0,0,3,0,0,3,0,0,0,0,53,17,0,70,112,48,0,160
3,State,ASSAM,2020,504,169,0,673,355,150,0,505,518,230,0,748,642,250,0,892,225,79,0,304,3,0,0,3,62,18,0,80,3,4,0,7,25,6,0,31,2337,906,0,3243
4,State,BIHAR,2020,57,39,0,96,35,42,0,77,73,82,0,155,130,107,0,237,94,58,0,152,11,8,0,19,38,10,0,48,6,8,0,14,7,4,0,11,451,358,0,809
5,State,CHHATTISGARH,2020,746,419,0,1165,1275,534,0,1809,1379,505,0,1884,988,374,0,1362,631,213,0,844,28,6,0,34,106,47,0,153,6,4,0,10,309,140,0,449,5468,2242,0,7710
6,State,GOA,2020,23,8,0,31,14,11,0,25,30,11,0,41,79,25,0,104,56,11,0,67,4,0,0,4,17,5,0,22,0,0,0,0,11,3,0,14,234,74,0,308
7,State,GUJARAT,2020,638,419,0,1057,923,458,2,1383,1098,552,0,1650,1299,530,0,1829,1147,448,0,1595,57,16,0,73,211,70,0,281,8,4,0,12,125,45,0,170,5506,2542,2,8050
8,State,HARYANA,2020,485,164,0,649,496,119,0,615,398,120,0,518,671,223,0,894,449,118,0,567,77,17,0,94,102,20,0,122,2,0,0,2,404,136,0,540,3084,917,0,4001
9,State,HIMACHAL PRADESH,2020,29,16,0,45,60,38,0,98,94,63,0,157,180,78,0,258,142,72,0,214,14,4,0,18,35,22,0,57,2,1,0,3,5,2,0,7,561,296,0,857
10,State,JAMMU & KASHMIR,2020,17,54,0,71,24,13,0,37,31,18,0,49,53,29,0,82,20,9,0,29,1,0,0,1,4,2,0,6,0,0,0,0,17,7,0,24,167,132,0,299
11,State,JHARKHAND,2020,128,88,0,216,184,95,0,279,255,158,0,413,544,275,0,819,208,126,0,334,8,2,0,10,15,4,0,19,0,0,0,0,44,11,0,55,1386,759,0,2145
12,State,KARNATAKA,2020,934,409,0,1343,1675,608,0,2283,2117,602,1,2720,2314,699,0,3013,1322,515,0,1837,157,25,0,182,437,173,0,610,37,9,0,46,198,27,0,225,9191,3067,1,12259
13,State,KERALA,2020,167,59,0,226,836,285,0,1121,1283,383,0,1666,2547,603,0,3150,1216,387,0,1603,166,68,0,234,171,91,0,262,22,12,0,34,162,42,0,204,6570,1930,0,8500
14,State,MADHYA PRADESH,2020,1593,1012,0,2605,2005,958,0,2963,2083,1126,0,3209,1944,943,0,2887,1420,625,0,2045,81,33,0,114,371,151,0,522,10,1,0,11,156,66,0,222,9663,4915,0,14578
15,State,MAHARASHTRA,2020,1083,425,2,1510,2132,651,1,2784,3123,891,1,4015,4908,1432,0,6340,3067,804,0,3871,203,50,0,253,599,134,0,733,18,7,0,25,300,78,0,378,15433,4472,4,19909
16,State,MANIPUR,2020,0,0,0,0,1,0,0,1,5,5,0,10,13,8,0,21,6,1,0,7,0,1,0,1,1,2,0,3,0,0,0,0,1,0,0,1,27,17,0,44
17,State,MEGHALAYA,2020,35,9,0,44,31,5,0,36,41,28,0,69,32,12,0,44,7,7,0,14,0,0,0,0,6,0,0,6,0,0,0,0,11,0,0,11,163,61,0,224
18,State,MIZORAM,2020,1,0,0,1,16,8,0,24,52,7,0,59,14,3,0,17,3,2,0,5,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,88,20,0,108
19,State,NAGALAND,2020,1,0,0,1,5,4,0,9,15,6,0,21,7,2,0,9,6,0,0,6,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,36,12,0,48
20,State,ODISHA,2020,18,17,0,35,63,41,0,104,142,58,0,200,510,190,0,700,1154,408,0,1562,13,12,0,25,47,16,0,63,2,2,0,4,1960,893,0,2853,3909,1637,0,5546
21,State,PUNJAB,2020,362,117,1,480,236,74,0,310,328,85,0,413,583,175,0,758,315,124,0,439,34,8,0,42,79,32,0,111,6,4,0,10,49,4,0,53,1992,623,1,2616
22,State,RAJASTHAN,2020,771,433,0,1204,794,322,1,1117,713,274,0,987,861,294,0,1155,508,179,0,687,48,19,0,67,234,83,0,317,20,7,0,27,78,19,0,97,4027,1630,1,5658
23,State,SIKKIM,2020,28,7,0,35,43,17,0,60,52,18,0,70,51,20,0,71,17,2,0,19,0,0,0,0,8,1,0,9,0,0,0,0,18,3,0,21,217,68,0,285
24,State,TAMIL NADU,2020,1190,622,1,1813,1762,733,1,2496,2715,913,3,3631,2801,1210,3,4014,1871,1204,2,3077,450,103,0,553,658,446,0,1104,105,37,0,142,46,7,0,53,11598,5275,10,16883
25,State,TELANGANA,2020,1731,655,0,2386,1013,443,0,1456,974,361,1,1336,1131,373,0,1504,624,205,0,829,52,13,0,65,227,76,0,303,24,6,0,30,117,32,0,149,5893,2164,1,8058
26,State,TRIPURA,2020,46,15,0,61,211,104,0,315,202,69,0,271,95,44,0,139,33,13,0,46,1,0,0,1,8,4,0,12,0,0,0,0,0,0,0,0,596,249,0,845
27,State,UTTAR PRADESH,2020,417,318,0,735,470,238,0,708,579,314,0,893,434,172,0,606,630,228,0,858,0,0,0,0,376,86,0,462,0,0,0,0,256,286,0,542,3162,1642,0,4804
28,State,UTTARAKHAND,2020,12,6,0,18,31,17,0,48,190,83,0,273,169,67,0,236,138,73,0,211,8,3,0,11,91,20,0,111,0,0,0,0,28,7,0,35,667,276,0,943
29,State,WEST BENGAL,2020,476,298,0,774,1133,648,0,1781,1477,954,0,2431,1388,938,0,2326,708,496,0,1204,5,5,0,10,131,45,0,176,0,1,0,1,2649,1751,0,4400,7967,5136,0,13103
State,State,TOTAL (STATES),2020,12657,6223,5,18885,16767,6992,5,23764,21002,8261,6,29269,25233,9343,3,34579,16561,6584,3,23148,1507,414,0,1921,4321,1684,0,6005,287,114,0,401,7160,3605,0,10765,105495,43220,22,148737
30,UT,A & N ISLANDS,2020,10,4,0,14,29,13,0,42,36,13,0,49,24,9,0,33,16,9,0,25,2,0,0,2,3,1,0,4,0,0,0,0,10,1,0,11,130,50,0,180
31,UT,CHANDIGARH,2020,1,1,0,2,2,4,0,6,18,5,0,23,21,15,0,36,23,17,0,40,1,0,0,1,9,6,0,15,0,0,0,0,5,0,0,5,80,48,0,128
34,UT,DELHI (UT),2020,170,97,0,267,226,99,0,325,317,116,0,433,659,306,0,965,564,209,0,773,47,1,0,48,116,32,0,148,4,2,0,6,144,33,0,177,2247,895,0,3142
35,UT,LAKSHADWEEP,2020,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
36,UT,PUDUCHERRY,2020,18,2,0,20,31,4,0,35,11,3,0,14,29,5,0,34,154,79,0,233,38,3,0,41,0,0,0,0,0,0,0,0,18,13,0,31,299,109,0,408
Union Territory,UT,TOTAL (UTs),2020,224,166,0,390,333,145,0,478,430,160,0,590,820,372,0,1192,801,329,0,1130,92,4,0,96,139,46,0,185,4,2,0,6,194,54,0,248,3037,1278,0,4315
Total (All India),TOTAL (ALL INDIA),TOTAL (ALL INDIA),2020,12881,6389,5,19275,17100,7137,5,24242,21432,8421,6,29859,26053,9715,3,35771,17362,6913,3,24278,1599,418,0,2017,4460,1730,0,6190,291,116,0,407,7354,3659,0,11013,108532,44498,22,153052
