Sl. No.,Category,State/UT/City,Below 14 years - Male,Below 14 years - Female,Below 14 years - Transgender,Below 14 years - Total,14 and Above - Below 18 years - Male,14 and Above - Below 18 years - Female,14 and Above - Below 18 years - Transgender,14 and Above - Below 18 years - Total,18 and Above - Below 30 years - Male,18 and Above - Below 30 years - Female,18 and Above - Below 30 years - Transgender,18 and Above - Below 30 years - Total,30 and Above - Below 45 years - Male,30 and Above - Below 45 years - Female,30 and Above - Below 45 years - Transgender,30 and Above - Below 45 years - Total,45 and Above - Below 60 years - Male,45 and Above - Below 60 years - Female,45 and Above - Below 60 years - Transgender,45 and Above - Below 60 years - Total,60 years & Above - Male,60 years & Above - Female,60 years & Above - Transgender,60 years & Above - Total,Total - Male,Total - Female,Total - Transgender,Total
66,City,KOZHIKODE,12,4,0,16,14,2,0,16,65,8,0,73,72,25,0,97,123,25,0,148,89,26,0,115,375,90,0,465
67,City,LUCKNOW,13,8,0,21,41,6,0,47,264,63,0,327,234,47,0,281,117,21,0,138,35,7,0,42,704,152,0,856
68,City,LUDHIANA,19,9,0,28,18,4,0,22,186,26,0,212,261,35,0,296,198,16,0,214,86,9,0,95,768,99,0,867
69,City,MADURAI,4,0,0,4,35,0,0,35,40,12,0,52,109,28,0,137,124,21,0,145,74,15,0,89,386,76,0,462
70,City,MALAPPURAM,7,1,0,8,7,2,0,9,31,4,0,35,40,9,0,49,24,10,0,34,15,9,0,24,124,35,0,159
71,City,MEERUT,8,5,0,13,37,5,0,42,194,25,0,219,159,25,0,184,44,15,0,59,4,4,0,8,446,79,0,525
72,City,MUMBAI,280,249,0,529,141,85,0,226,1061,380,3,1444,1945,423,0,2368,1865,309,0,2174,1115,430,0,1545,6407,1876,3,8286
73,City,NAGPUR,23,17,0,40,24,5,0,29,192,51,0,243,326,54,0,380,230,54,0,284,91,27,0,118,886,208,0,1094
74,City,NASIK,30,25,0,55,15,10,0,25,173,57,0,230,318,66,0,384,351,55,0,406,214,62,0,276,1101,275,0,1376
75,City,PATNA,0,0,0,0,57,5,0,62,180,17,0,197,51,13,0,64,30,3,0,33,0,0,0,0,318,38,0,356
76,City,PUNE,206,215,0,421,88,47,0,135,681,196,0,877,1079,253,0,1332,1025,202,1,1228,490,182,0,672,3569,1095,1,4665
77,City,RAIPUR,30,24,0,54,36,23,0,59,285,52,0,337,292,56,0,348,143,25,0,168,46,18,1,65,832,198,1,1031
78,City,RAJKOT,7,9,0,16,62,23,0,85,263,69,0,332,351,123,0,474,81,49,0,130,48,16,0,64,812,289,0,1101
79,City,RANCHI,0,0,0,0,20,18,0,38,79,12,0,91,12,8,0,20,3,0,0,3,0,0,0,0,114,38,0,152
80,City,SRINAGAR,0,0,0,0,0,0,0,0,84,11,0,95,142,15,0,157,84,11,0,95,7,0,0,7,317,37,0,354
81,City,SURAT,79,65,0,144,57,23,0,80,502,117,0,619,681,122,0,803,496,79,0,575,210,57,0,267,2025,463,0,2488
82,City,THIRUVANANTHAPURAM,8,1,0,9,30,1,0,31,122,29,0,151,108,57,0,165,172,77,0,249,169,90,0,259,609,255,0,864
83,City,THRISSUR,8,5,0,13,7,0,0,7,30,2,0,32,56,7,0,63,123,18,0,141,87,28,0,115,311,60,0,371
84,City,TIRUCHIRAPPALLI,5,6,0,11,5,4,0,9,122,36,0,158,166,34,0,200,136,25,0,161,21,22,0,43,455,127,0,582
85,City,VADODARA,22,6,0,28,10,7,0,17,213,27,0,240,388,69,0,457,291,53,0,344,101,46,0,147,1025,208,0,1233
86,City,VARANASI,21,10,0,31,54,21,0,75,160,74,0,234,199,66,0,265,131,34,0,165,69,19,0,88,634,224,0,858
87,City,VASAI VIRAR,57,46,0,103,71,14,0,85,101,44,0,145,223,42,0,265,194,39,0,233,91,34,0,125,737,219,0,956
88,City,VIJAYAWADA,10,10,0,20,14,3,0,17,116,22,0,138,256,45,0,301,170,48,0,218,81,43,0,124,647,171,0,818
89,City,VISHAKHAPATNAM,19,8,0,27,28,3,0,31,176,37,0,213,250,43,0,293,200,37,0,237,60,28,0,88,733,156,0,889
TOTAL (CITIES),TOTAL (CITIES),TOTAL (CITIES),1693,1144,0,2837,2375,777,0,3152,13944,3418,8,17370,18237,3521,2,21760,13687,2417,1,16105,6241,1906,1,8148,56177,13183,12,69372
